question,title
What are the limitations of large language models in reasoning tasks?,Faith and Fate: Limits of Transformers on Compositionality
What are the limitations of large language models in reasoning tasks?,Towards Reasoning in Large Language Models: A Survey
What are the limitations of large language models in reasoning tasks?,Beyond Accuracy: Evaluating the Reasoning Behavior of Large Language Models - A Survey
How does transformer architecture compare to recurrent neural networks?,Block-Recurrent Transformers
How does transformer architecture compare to recurrent neural networks?,A Comparative Study on Transformer vs RNN in Speech Applications
How does transformer architecture compare to recurrent neural networks?,Human Sentence Processing: Recurrence or Attention?
What biases emerge in large-scale machine learning models?,Towards an Enhanced Understanding of Bias in Pre-trained Neural Language Models: A Survey with Special Emphasis on Affective Bias
What biases emerge in large-scale machine learning models?,Overwriting Pretrained Bias with Finetuning Data
What biases emerge in large-scale machine learning models?,Skip \n: A Simple Method to Reduce Hallucination in Large Vision-Language Models
How does model size affect generalization performance?,Language Models are Few-Shot Learners
How does model size affect generalization performance?,Deep double descent: where bigger models and more data hurt
How does model size affect generalization performance?,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks
What evaluation methods are used for generative AI systems?,The Power of Generative AI: A Review of Requirements, Models, Input-Output Formats, Evaluation Metrics, and Challenges
What evaluation methods are used for generative AI systems?,Evaluating the Social Impact of Generative AI Systems in Systems and Society
What evaluation methods are used for generative AI systems?,Pros and Cons of GAN Evaluation Measures: New Developments
How do academic search engines rank scholarly articles?,SemAcSearch: A semantically modeled academic search engine
How do academic search engines rank scholarly articles?,On The Current State of Scholarly Retrieval Systems
How do academic search engines rank scholarly articles?,Language Bias in the Google Scholar Ranking Algorithm
What role do citations play in information retrieval systems?,On The Current State of Scholarly Retrieval Systems
What role do citations play in information retrieval systems?,Using Access Data for Paper Recommendations on ArXiv.org
What role do citations play in information retrieval systems?,Context sensitive article ranking with citation context analysis
How does semantic search improve document retrieval?,Dense Passage Retrieval for Open-Domain Question Answering
How does semantic search improve document retrieval?,An Analysis of Fusion Functions for Hybrid Retrieval
How does semantic search improve document retrieval?,VectorSearch: Enhancing Document Retrieval with Semantic Embeddings and Optimized Search
What are common evaluation metrics for search relevance?,Pre-trained Language Model based Ranking in Baidu Search
What are common evaluation metrics for search relevance?,Expected reciprocal rank for graded relevance
What are common evaluation metrics for search relevance?,Cumulated gain-based evaluation of IR techniques
How do citation networks influence search rankings?,An Effective Scholarly Search by Combining Inverted Indices and Structured Search With Citation Networks Analysis
How do citation networks influence search rankings?,Finding scientific gems with Google's PageRank algorithm
How do citation networks influence search rankings?,The PageRank Citation Ranking : Bringing Order to the Web
How does distributed consensus work in fault-tolerant systems?,A Survey of Distributed Consensus Protocols for Blockchain Networks
How does distributed consensus work in fault-tolerant systems?,ResilientDB
How does distributed consensus work in fault-tolerant systems?,The Istanbul BFT Consensus Algorithm
What are the scalability limits of distributed databases?,Sharding Distributed Databases: A Critical Review
What are the scalability limits of distributed databases?,Lookup Tables: Fine-Grained Partitioning for Distributed Databases
What are the scalability limits of distributed databases?,Scalable Database Access Technologies for ATLAS Distributed Computing
How does network latency affect cloud performance?,The Hidden Cost of the Edge: A Performance Comparison of Edge and Cloud Latencies
How does network latency affect cloud performance?,Is Big Data Performance Reproducible in Modern Cloud Networks?
How does network latency affect cloud performance?,Scaling Performance of Serverless Edge Networking
What are common security vulnerabilities in distributed systems?,A Noble Security Analysis of Various Distributed Systems
What are common security vulnerabilities in distributed systems?,Cybersecurity Challenges in Distributed Control
What are common security vulnerabilities in distributed systems?,A Review on Security Issues and Attacks in Distributed Systems
How does load balancing improve system reliability?,Fault-tolerant load balancing in cloud computing: A systematic literature review
How does load balancing improve system reliability?,A Dynamic Task Scheduling Algorithm Improved by Load Balancing in Cloud Computing
How does load balancing improve system reliability?,Employing Software Diversity in Cloud Microservices to Engineer Reliable and Performant Systems
How do type systems prevent runtime errors?,Strongly-Typed Multi-View Stack-Based Computations
How do type systems prevent runtime errors?,Behavioural Types for Memory and Method Safety in a Core Object-Oriented Language
How do type systems prevent runtime errors?,The Role of TypeScript in Enhancing Development with Modern JavaScript Frameworks
What tradeoffs exist between static and dynamic typing?,Type System of Anemone Functional Language
What tradeoffs exist between static and dynamic typing?,A large scale study of programming languages and code quality in github
